Link,comment,"type (raise awareness, teaching skills, specific solution,...)",duration (mm:ss),"importance (1-3, 3 is to be seen absolutely)",technique,research_field,license,title,production_year,language(s),rights_holder,X13,contact,X15,format
https://doi.org/10.4126/FRL01-006399385,broken_link,NA,NA,0,NA,Lebenswissenschaften,k.A.,Der Publikationsservice GMS und das Forschungsdatenrepositorium DRYAD,2015,German,"Arning, Ursula; Haas, Simone; Kullmer, Bettina; Schmitz, Jasmin",NA,Lindstaedt@zbmed.de,NA,Video
https://doi.org/10.4126/FRL01-006399500,broken_link,NA,NA,0,NA,Lebenswissenschaften,k.A.,"Digital Object Identifier (DOIs) für Forschungsdaten und Publikationen in den Lebenswissenschaften, 1: DOI-Registrierung von ZB MED",2015,German,"Haas, Simone; Kullmer, Bettina; Lindstädt, Birte; Pletsch, Katja; Arning, Ursula; Schmitz, Jasmin",NA,Lindstaedt@zbmed.de,NA,Video
https://doi.org/10.4126/FRL01-006399502,broken_link,NA,NA,0,NA,Lebenswissenschaften,k.A.,"Digital Object Identifier (DOIs) für Forschungsdaten und Publikationen in den Lebenswissenschaften, 2: Registrierung von DOIs durch Forschungseinrichtungen",2015,German,"Haas, Simone; Kullmer, Bettina; Lindstädt, Birte; Pletsch, Katja; Arning, Ursula; Schmitz, Jasmin",NA,Lindstaedt@zbmed.de,NA,Video
https://doi.org/10.18450/dataman/90,"langsam, zielgruppe= librarian",information,6:30,1,slideshow,allgemein,CC BY 4.0,Was sind Forschungsdaten?,2016,German,"Aust, Pamela; Helbig, Kerstin; Schenk, Ulrike; Zielke, Dennis; Rosenbaum, Anja; Schulze, Jörg",NA,kerstin.helbig@cms.hu-berlin.de,NA,Video
https://doi.org/10.18450/dataman/91,"dmp, 2 voices, QandA,no visual",information,4:12,2,slideshow,allgemein,CC BY 4.0,Was sind Datenmanagementpläne?,2017,German,"Helbig, Kerstin; Krause, Katja; Kruse, Carolin; Rehak, Florian; Tari, Gianpiero",NA,kerstin.helbig@cms.hu-berlin.de,NA,Video
https://www.youtube.com/watch?v=5uzqaLpcv-0,broken_link,NA,NA,0,slideshow,allgemein,CC BY 4.0,Webinar: Daten teilen - Wo fange ich an?,2017,German,"Eisentraut, Markus; Harzenetter, Karoline",NA,verbund@forschungsdaten-bildung.de,NA,Video
https://doi.org/10.18450/dataman/95,very vague and difficult to feel spoken to,information,4:43,2,slideshow,Naturwissenschaften,CC BY 4.0,Forschungsdaten in der Physik,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",NA,kerstin.helbig@cms.hu-berlin.de,NA,Video
https://doi.org/10.18450/dataman/96,same as https://doi.org/10.18450/dataman/95,information,4:43,2,slideshow,Naturwissenschaften,CC BY 4.0,Forschungsdaten in der Chemie,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",NA,kerstin.helbig@cms.hu-berlin.de,NA,Video
https://doi.org/10.18450/dataman/97,same as https://doi.org/10.18450/dataman/95,information,4:43,2,slideshow,Lebenswissenschaften,CC BY 4.0,Forschungsdaten in der Biologie,2018,German,"Helbig, Kerstin; Krause, Katja; Rehak, Florian; Kruse, Carolin; Rosenbaum, Anja; Tari, Gianpiero",NA,kerstin.helbig@cms.hu-berlin.de,NA,Video
https://doi.org/10.4225/22/5a1cba05e8c85,interview + random science videos,pub,0:57,2,video,allgemein,copyrighted,NA,2017,English,NA,NA,NA,NA,NA
