"ID","Argument","type_of_col","linked to","content","source_intern_slug","source_extern"
"JC_1","Open data is inevitable","real life stories",,"With support from Biden and the Administration, the National Cancer Moonshot Initiative should make openness the default for cancer research.","Creative-commons","https://creativecommons.org/2016/08/22/open-access-research-critical-advance-progress-cancer/ see https://www.cancer.gov/research/key-initiatives/moonshot-cancer-initiative"
"JC_2","open data for better science","real life stories","NA","Data are the core of science, and research has to be based on sound and reliable data","Creative-commons","https://creativecommons.org/2016/12/01/open-practices-policies-research-data-marine-community/"
"JC_3","open data for better science","real life stories","NA","We believe that open access to government funded scientific research is absolutely critical to accelerating progress in the fight against cancer.","Creative-commons","https://creativecommons.org/2016/08/22/open-access-research-critical-advance-progress-cancer/ see https://www.cancer.gov/research/key-initiatives/moonshot-cancer-initiative"
"JC_4","Open data is inevitable","real life stories",,"“Carlos Moedas – Commissioner for Research, Science and Innovation - said on 22 June 2015:
This will mean setting standards for the management, interoperability and quality of scientific data.
“","open-data-coming-proof","NA"
"JC_5","RDM for data security","punch line",,"“Avoid data disaster”","youtube-presentation-note","https://www.youtube.com/watch?v=hRoqQX97F6o&list=PLG24w6ETyHS3fYbDnB6LOOzOfATVhP3zp&index=16&t=0s"
"JC_6","RDM is time investment","real life stories",,"“We have begun the process of preparing data for publication at the time of collection rather than as a subsequent publication step. The hope is that these small changes to daily working practice should make the general research community more efficient.”","from-the-openadventures-blog-2","https://openadventures-blog.lib.cam.ac.uk/?p=90"
"JC_7","RDM is time investment","real life stories",,"“The task [asked by data manageers] is sometimes only a small one. But these small tasks can sometimes be the final straw when it comes to managing your workload.”","from-the-openadventures-blog-2","https://openadventures-blog.lib.cam.ac.uk/?p=90"
"JC_8","RDM allows better, easier data analysis","real life stories",,"“It is about Organising and storing the data, Assessing our data (increase interoperability), Cleaning up data for analysis.”","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=2085"
"JC_9","Marketing_strategy","real life stories",,"a blunt top-down approach lead to limited engagement","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_10","open data, critics and theft","real life stories",,"“many researchers worry that to make their research open and reproducible opens them to criticism and the theft of ideas and future plans”","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_11","Ethical values of academia","real life stories",,"it’s (Open data) viewed as an altruistic and noble thing to do","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_12","open data for better science","real life stories",,"relationship between RDM and open data, and transparency in research","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_13","Marketing_strategy","real life stories",,"Common ground across all of them included the necessity of utilising engaged researchers themselves to spread messages to other researchers","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_14","Marketing_strategy","real life stories",,"persuading researchers of the benefits of open data leads to higher levels of engagement than compulsion on the grounds of funder requirements.","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_15","RDM as Core competence","real life stories",,"research data management skills as core competencies needed by every PhD student","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_16","Ethical values of academia","real life stories",,"We did not offer any incentive other than encouraging researchers to contribute to the greater good.","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
"JC_17","RDM allows better, easier data analysis","punch line","JC_18,JC_19,JC_20","Several researchers, when asked for their happiest data moment are talking about getting data analysis results.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_18","RDM allows better, easier data analysis","real life stories",,"happiest data moment: we had immersed ourselves so fully in the environments under study that we understood them to an extent which I would not have previously thought possible.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_19","RDM allows better, easier data analysis","real life stories",,"happiest data moment:It was a small piece of scientific knowledge, but I was the first person in the world to know about it.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_20","RDM allows better, easier data analysis","real life stories",,"happiest data moment When I finally got my latent growth model to run","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_21","open data for better science","real life stories",,"We are happy with the publicly available datasets. Our problem starts with the datasets we collect.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_22","RDM as Core competence","real life stories",,"How to store, analyse, and make it available for everyone to use are the questions we are trying to answer all the time.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_23","open data for better science","real life stories",,"I can run a viable research program with no startup money or funds just by scavenging through publicly available datasets.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_24","Open data is inevitable","real life stories",,"Past US Presidents have made laws like any data generated with public funds should be made available.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_25","open data, critics and theft","punch line",,"People are unduly worried. People are giving away more personal data wilfully on Facebook, Twitter, Instagram than through genome sequences collected by public consortiums.","from-the-openadventures-blog-1","https://openadventures-blog.lib.cam.ac.uk"
"JC_26","RDM for data security","real life stories",,"HD lost in pub: The external hard drive is VERY important to me as it contains 5 years of research data which are crucial for my PhD thesis","lost-the-backup","https://blogs.ch.cam.ac.uk/pmr/2011/08/01/why-you-need-a-data-management-plan/"
"JC_27","open data for better science","real life stories",,"some datasets are still downloaded years after the end of the initial project, which demonstrate the benefits of provisioning, exposing and sharing of research data.","exposing-research-data","NA"
"JC_28","RDM for data security","reference",,"fairy tales: the data management fairy get the data back up!","data-fairy","NA"
"JC_29","RDM for data security","punch line",,"a paper was retracted from science because the raw data could not be presented.","paper-retraction-in-absence-of-data","http://science.sciencemag.org/content/357/6352/654.1"
"JC_30","RDM for data security","punch line",,"the absence of data makes it impossible for researchers to prove they did not misconduct","paper-retraction-in-absence-of-data","NA"
"JC_31","RDM for data security","punch line",,"Retractions due to problems with the data may be reduced by appropriate data sharing and deposition before publication.","paper-retraction-in-absence-of-data","NA"
"JC_32","RDM for data security","real life stories",,"There were no rules that you had to keep the data.","paper-retraction-in-absence-of-data","http://dx.doi.org/10.1136/bmjopen-2016-012047"
"JC_33","RDM as Core competence","real life stories",,"One of the co-authors was stripped of her PhD.","paper-retraction-in-absence-of-data","http://dx.doi.org/10.1136/bmjopen-2016-012047"
"JC_34","RDM for data quality","real life stories",,"the authors of the original study were unable to provide the raw data in order to confirm which data file was correct.","paper-retraction-in-absence-of-data","http://dx.doi.org/10.1136/bmjopen-2016-012047"
"JC_35","open data for better science","real life stories",,"it mainly worked because the PI wanted to be able to do meta-analysis","fly-olfactory-learning-and-lab-meta-analysis","NA"
"JC_36","open data for better science","punch line","JC_35, JC_23","Easy meta-analysis with FAIR datasets","fly-olfactory-learning-and-lab-meta-analysis","NA"
"JC_37","RDM is time investment","real life stories",,"we had a couple of burst of collaborative work when the assay was not working properly and the use of a standard sheet helped a lot","fly-olfactory-learning-and-lab-meta-analysis","NA"
"JC_38","RDM allows better, easier data analysis","punch line",,"rigorously managemed data will help you to reach solid, meaningful results","slogan","https://www.nature.com/articles/d41586-018-03065-z"
"JC_39","open data for better science","punch line",,"data management enhances utility and reproducibility of science ",,"https://www.nature.com/articles/d41586-018-03065-z"
"JC_40","RDM is time investment","punch line",,"If you haven’t got a plan for your data, you need one now.",,"https://www.nature.com/articles/d41586-018-03065-z"
"JC_41","Marketing_strategy","real life stories",,"Noon talks at the EPFL: presentation series about divers open science subjects","noon-talks-at-the-epfl","NA"
"JC_42","Marketing_strategy","real life stories",,"Using the love data week to pool initiatives (talks, poster, contests,…)","noon-talks-at-the-epfl","NA"
"JC_43","Marketing_strategy","real life stories",,"Communication channels: emails, social media, distribution of posters and buttons, screens on the campus, online agendas, events lists","noon-talks-at-the-epfl","NA"
"JC_44","Marketing_strategy","real life stories",,"branding data management as a preparation for data analysis","branding-as-data-preparation-for-analysis","NA"
"JC_45","Marketing_strategy","real life stories",,"targeted campaigns to coincide with international events in conjunction with frequent, small-scale messages","from-the-openadventures-blog-2","https://unlockingresearch-blog.lib.cam.ac.uk/?p=1833"
