Link,title,comment,type,duration_mm:ss,importance_0to4,technique,research_field,license,production_year,language(s),rights_holder,contact,format
https://www.youtube.com/watch?v=cpXMTf6qPfw,"
Managing your research data","RDM promotion, only text",awareness,02:05,1,powtoon but sliedshow feel,allgemein,youtube,2016,engl,Lilian Austin,NA,video
https://www.youtube.com/watch?v=jE_rvGczWko,Research data management,interview,awareness,03:03,1,video,allgemein,NA,2018,English,NA,NA,Video
https://www.youtube.com/watch?v=q2aiDJzJPuw,An introduction to the basics of Research Data,"too long, boring",awareness,16:54,1,www.vyond.com,allgemein,NA,2014,English,NA,NA,Video
https://www.youtube.com/watch?v=gYDb-GP1CA4&t=82s,what and why of dmp,DMP,information,05:30,1,slideshow,NA,youtube,2014,english,NA,NA,video
https://www.youtube.com/watch?v=PgqtiY7oZ6k,PI and data citation,doi,information,04:51,1,slideshow,allgemein,youtube,2014,english,rdn,NA,video
https://www.youtube.com/watch?v=vqofyUxvVjQ,5 reasons to share your data,reasons for open data,awareness,01:11,1,powtoon,allgemein,youtube,2015,english,Cranfield University Libraries,NA,video
https://doi.org/10.4225/22/5a1cba05e8c85,La Trobe University Research Data Management,interview + random science videos,pub,00:57,2,video,allgemein,copyrighted,2017,English,NA,NA,Video
http://stiftfilm.de/portfolio-item/fairdom/,Fairdom - Research Data Management,nice example of why it is important but too specific,awareness,04:46,2,"animation, drawing",allgemein,NA,NA,English,NA,NA,Video
https://www.youtube.com/watch?v=0eEOwu8qZtU,what is doi,doi,information,03:46,2,whiteboard,NA,bby-nd,2016,english,ZB med,publisso@zbmed.de,video
https://www.youtube.com/watch?v=q-oBA5EwR1Y,doi by zbmed,doi,information,03:13,2,whiteboard,NA,bby-nd,2016,english,ZB med,publisso@zbmed.de,video
https://www.youtube.com/watch?v=oQuupzfX9OQ,tidy data,tidy data definition,teaching,03:56,2,slideshow,data,youtube,2017,english,Denys07M,NA,video
https://www.youtube.com/watch?v=QjPJr2tLj3o,Research Data Management and Sharing,introduction,promotion + teaching,14:98,2,slideshow,data,CC-BY,2016,english,TWU Libraries,NA,NA
https://www.youtube.com/watch?v=Om0BHelH_nU,Albert and Neil discuss Data Management,"similar to famous data sharing video, but not famous",awareness,02:28,2,xtranormal,allgemein,CC-BY,2012,english,datamanagementportal ??,NA,video
https://www.youtube.com/watch?v=-fM-RTyseHE,Open Data Licensing Animation - OERIPR Support,open data,information,07:01,2,whiteboard,allgemein,CC-BY,2017,english,OERIPR,NA,video
https://media.ed.ac.uk/channel/Research+Data+Management+and+Sharing/74117801,Research Data Management and Sharing mooc,15 videos: interviews and information for a MOOC,information,60:00,2,video + slideshow,allgemein,CC-BY,2016,english,The University of Edinburgh.,NA,video
https://www.youtube.com/watch?v=i2jcOJOFUZg&index=2&list=PL2XF5RiVI7GMB6mlitNrD38Z82i2qOmZR,MANTRA - Jeff Haywood - Importance of good file management in research,nice discussion about data labels,teaching,03:18,2,interview,allgemein,CC-BY,2011,english,University of Edinburgh Data Library,NA,video
https://www.youtube.com/watch?v=RhxVmYtKqIY&list=PL2XF5RiVI7GMB6mlitNrD38Z82i2qOmZR&index=3,MANTRA - Richard Rodger - Organising data,NA,teaching,02:25,2,interview,allgemein,CC-BY,2011,english,University of Edinburgh Data Library,NA,video
https://www.youtube.com/watch?time_continue=323&v=JOTlUNvNJpY,John Alan Pascoe - Open data,open data in practice,information,05:23,2,interview,allgemein,CC-BY,2017,english,TU Delft,NA,video
https://doi.org/10.6084/m9.figshare.5421853.v1,"This video is a basic primer on what metadata is, why it is relevant to collaborative research, and how people can begin to use it to enhance the power of their research.",definition of metadata,"information, teaching",01:25,3,slideshow +  animation,allgemein,CC BY 4.0,2017,English,NA,NA,Video
https://vimeo.com/162062013,Vision on Open Science,"very broad topic, too much information and too much moving elements, I am bit sick at the end of the video !",information,03:58,3,animation,allgemein,?,2016,English,NA,NA,Video
https://www.youtube.com/watch?v=N2zK3sAtr-4,Data Sharing and Management Snafu in 3 Short Acts,famous data sharing video,awareness,04:40,3,animation,allgemein,NA,2012,English,NA,NA,Video
https://www.youtube.com/watch?v=nNBiCcBlwRA,How to avoid a data management nightmare,"interesting content (how to avoid...), too long and bad music",awareness,04:46,3,powtoon,allgemein,CC BY 4.0,2014,English,NA,NA,Video
https://www.youtube.com/watch?v=-PcwOWiHcP8,Research Data,elsevier video,"pub, information",03:05,3,animation,allgemein,NA,2017,English,NA,NA,Video
http://libguides.vu.nl/researchdata/data-management-plan,Research planning: Data Management Plans,"very professional looking, nice content",awareness,04:11,3,video,allgemein,CC BY NC SA,2016,English,NA,NA,Video
https://www.youtube.com/watch?v=8qRLgQa1wT4,addressing data sharing concern,data sharing,promotion,03:40,3,slideshow,allgemein,youtube,2014,english,rdn,NA,video
